Time - Plot 0,Power(kW) - Plot 0
9:00:10,245.777
9:00:20,245.744
9:00:30,245.712
9:00:40,245.679
9:00:50,245.646
9:01:00,245.613
9:01:10,245.58
9:01:20,245.548
9:01:30,245.515
9:01:40,245.482
9:01:50,245.449
9:02:00,245.416
9:02:10,245.384
9:02:20,245.351
9:02:30,245.318
9:02:40,245.285
9:02:50,245.252
9:03:00,245.219
9:03:10,245.187
9:03:20,245.154
9:03:30,245.121
9:03:40,245.088
9:03:50,245.055
9:04:00,245.023
9:04:10,244.99
9:04:20,244.957
9:04:30,244.924
9:04:40,244.891
9:04:50,244.859
9:05:00,244.826
9:05:10,244.793
9:05:20,244.76
9:05:30,244.727
9:05:40,244.695
9:05:50,244.662
9:06:00,244.629
9:06:10,244.596
9:06:20,244.563
9:06:30,244.531
9:06:40,244.498
9:06:50,244.465
9:07:00,244.432
9:07:10,244.399
9:07:20,244.367
9:07:30,244.334
9:07:40,244.301
9:07:50,244.268
9:08:00,244.235
9:08:10,244.203
9:08:20,244.17
9:08:30,244.137
9:08:40,244.104
9:08:50,244.071
9:09:00,244.038
9:09:10,244.006
9:09:20,243.973
9:09:30,243.94
9:09:40,243.907
9:09:50,243.874
9:10:00,243.842
9:10:10,243.809
9:10:20,243.776
9:10:30,243.743
9:10:40,243.71
9:10:50,243.678
9:11:00,243.645
9:11:10,243.612
9:11:20,243.579
9:11:30,243.546
9:11:40,243.514
9:11:50,243.481
9:12:00,243.448
9:12:10,243.415
9:12:20,243.382
9:12:30,243.35
9:12:40,243.317
9:12:50,243.284
9:13:00,243.251
9:13:10,243.218
9:13:20,243.186
9:13:30,243.153
9:13:40,243.12
9:13:50,243.087
9:14:00,243.054
9:14:10,243.022
9:14:20,242.989
9:14:30,242.956
9:14:40,242.923
9:14:50,242.89
9:15:00,242.857
9:15:10,242.825
9:15:20,242.792
9:15:30,242.759
9:15:40,242.726
9:15:50,242.693
9:16:00,242.661
9:16:10,242.628
9:16:20,242.595
9:16:30,242.562
9:16:40,242.529
9:16:50,242.497
9:17:00,242.464
9:17:10,242.431
9:17:20,242.398
9:17:30,242.365
9:17:40,242.333
9:17:50,242.3
9:18:00,242.267
9:18:10,242.234
9:18:20,242.201
9:18:30,242.169
9:18:40,242.136
9:18:50,242.103
9:19:00,242.07
9:19:10,242.037
9:19:20,242.005
9:19:30,241.972
9:19:40,241.939
9:19:50,241.906
9:20:00,241.873
9:20:10,241.841
9:20:20,241.808
9:20:30,241.775
9:20:40,241.742
9:20:50,241.709
9:21:00,241.676
9:21:10,241.644
9:21:20,241.611
9:21:30,241.578
9:21:40,241.545
9:21:50,241.512
9:22:00,241.48
9:22:10,241.447
9:22:20,241.414
9:22:30,241.381
9:22:40,241.348
9:22:50,241.316
9:23:00,241.283
9:23:10,241.25
9:23:20,241.217
9:23:30,241.184
9:23:40,241.152
9:23:50,241.119
9:24:00,241.086
9:24:10,241.053
9:24:20,241.02
9:24:30,240.988
9:24:40,240.955
9:24:50,240.922
9:25:00,240.889
9:25:10,240.856
9:25:20,240.824
9:25:30,240.791
9:25:40,240.758
9:25:50,240.725
9:26:00,240.692
9:26:10,240.66
9:26:20,240.627
9:26:30,240.594
9:26:40,240.561
9:26:50,240.528
9:27:00,240.495
9:27:10,240.463
9:27:20,240.43
9:27:30,240.397
9:27:40,240.364
9:27:50,240.331
9:28:00,240.299
9:28:10,240.266
9:28:20,240.233
9:28:30,240.2
9:28:40,240.167
9:28:50,240.135
9:29:00,240.102
9:29:10,240.069
9:29:20,240.036
9:29:30,240.003
9:29:40,239.971
9:29:50,239.938
9:30:00,239.905
9:30:10,239.872
9:30:20,239.839
9:30:30,239.807
9:30:40,239.774
9:30:50,239.741
9:31:00,239.708
9:31:10,239.675
9:31:20,239.643
9:31:30,239.61
9:31:40,239.577
9:31:50,239.544
9:32:00,239.511
9:32:10,239.479
9:32:20,239.446
9:32:30,239.413
9:32:40,239.38
9:32:50,239.347
9:33:00,239.314
9:33:10,239.282
9:33:20,239.249
9:33:30,239.216
9:33:40,239.183
9:33:50,239.15
9:34:00,239.118
9:34:10,239.085
9:34:20,239.052
9:34:30,239.019
9:34:40,238.986
9:34:50,238.954
9:35:00,238.921
9:35:10,238.888
9:35:20,238.855
9:35:30,238.822
9:35:40,238.79
9:35:50,238.757
9:36:00,238.724
9:36:10,238.691
9:36:20,238.658
9:36:30,238.626
9:36:40,238.593
9:36:50,238.56
9:37:00,238.527
9:37:10,238.494
9:37:20,238.462
9:37:30,238.429
9:37:40,238.396
9:37:50,238.363
9:38:00,238.33
9:38:10,238.298
9:38:20,238.265
9:38:30,238.232
9:38:40,238.199
9:38:50,238.166
9:39:00,238.133
9:39:10,238.101
9:39:20,238.068
9:39:30,238.035
9:39:40,238.002
9:39:50,237.969
9:40:00,237.937
9:40:10,237.904
9:40:20,237.871
9:40:30,237.838
9:40:40,237.805
9:40:50,237.773
9:41:00,237.74
9:41:10,237.707
9:41:20,237.674
9:41:30,237.641
9:41:40,237.609
9:41:50,237.576
9:42:00,237.543
9:42:10,237.51
9:42:20,237.477
9:42:30,237.445
9:42:40,237.412
9:42:50,237.379
9:43:00,237.346
9:43:10,237.313
9:43:20,237.281
9:43:30,237.248
9:43:40,237.215
9:43:50,237.182
9:44:00,237.149
9:44:10,237.117
9:44:20,237.084
9:44:30,237.051
9:44:40,237.018
9:44:50,236.985
9:45:00,236.952
9:45:10,236.92
9:45:20,236.887
9:45:30,236.854
9:45:40,236.821
9:45:50,236.788
9:46:00,236.756
9:46:10,236.723
9:46:20,236.69
9:46:30,236.657
9:46:40,236.624
9:46:50,236.592
9:47:00,236.559
9:47:10,236.526
9:47:20,236.493
9:47:30,236.46
9:47:40,236.428
9:47:50,236.395
9:48:00,236.362
9:48:10,236.329
9:48:20,236.296
9:48:30,236.264
9:48:40,236.231
9:48:50,236.198
9:49:00,236.165
9:49:10,236.132
9:49:20,236.1
9:49:30,236.067
9:49:40,236.034
9:49:50,236.001
9:50:00,235.968
9:50:10,235.936
9:50:20,235.903
9:50:30,235.87
9:50:40,235.837
9:50:50,235.804
9:51:00,235.771
9:51:10,235.739
9:51:20,235.706
