Time - Plot 0,Power(kW) - Plot 0
10:00:10,233.825
10:00:20,233.651
10:00:30,233.476
10:00:40,233.302
10:00:50,233.127
10:01:00,232.952
10:01:10,232.778
10:01:20,232.603
10:01:30,232.428
10:01:40,232.254
10:01:50,232.079
10:02:00,231.905
10:02:10,231.73
10:02:20,231.555
10:02:30,231.381
10:02:40,231.206
10:02:50,231.032
10:03:00,230.857
10:03:10,230.682
10:03:20,230.508
10:03:30,230.333
10:03:40,230.159
10:03:50,229.984
10:04:00,229.809
10:04:10,229.635
10:04:20,229.46
10:04:30,229.285
10:04:40,229.111
10:04:50,228.936
10:05:00,228.762
10:05:10,228.587
10:05:20,228.412
10:05:30,228.238
10:05:40,228.063
10:05:50,227.889
10:06:00,227.714
10:06:10,227.539
10:06:20,227.365
10:06:30,227.19
10:06:40,227.016
10:06:50,226.841
10:07:00,226.666
10:07:10,226.492
10:07:20,226.317
10:07:30,226.142
10:07:40,225.968
10:07:50,225.793
10:08:00,225.619
10:08:10,225.444
10:08:20,225.269
10:08:30,225.095
10:08:40,224.92
10:08:50,224.746
10:09:00,224.571
10:09:10,224.396
10:09:20,224.222
10:09:30,224.047
10:09:40,223.873
10:09:50,223.698
10:10:00,223.523
10:10:10,223.349
10:10:20,223.174
10:10:30,222.999
10:10:40,222.825
10:10:50,222.65
10:11:00,222.476
10:11:10,222.301
10:11:20,222.126
10:11:30,221.952
10:11:40,221.777
10:11:50,221.603
10:12:00,221.428
10:12:10,221.253
10:12:20,221.079
10:12:30,220.904
10:12:40,220.73
10:12:50,220.555
10:13:00,220.38
10:13:10,220.206
10:13:20,220.031
10:13:30,219.856
10:13:40,219.682
10:13:50,219.507
10:14:00,219.333
10:14:10,219.158
10:14:20,218.983
10:14:30,218.809
10:14:40,218.634
10:14:50,218.46
10:15:00,218.285
10:15:10,218.11
10:15:20,217.936
10:15:30,217.761
10:15:40,217.587
10:15:50,217.412
10:16:00,217.237
10:16:10,217.063
10:16:20,216.888
10:16:30,216.713
10:16:40,216.539
10:16:50,216.364
10:17:00,216.19
10:17:10,216.015
10:17:20,215.84
10:17:30,215.666
10:17:40,215.491
10:17:50,215.317
10:18:00,215.142
10:18:10,214.967
10:18:20,214.793
10:18:30,214.618
10:18:40,214.444
10:18:50,214.269
10:19:00,214.094
10:19:10,213.92
10:19:20,213.745
10:19:30,213.57
10:19:40,213.396
10:19:50,213.221
10:20:00,213.047
10:20:10,212.872
10:20:20,212.697
10:20:30,212.523
10:20:40,212.348
10:20:50,212.174
10:21:00,211.999
10:21:10,211.824
10:21:20,211.65
10:21:30,211.475
10:21:40,211.301
10:21:50,211.126
10:22:00,210.951
10:22:10,210.777
10:22:20,210.602
10:22:30,210.427
10:22:40,210.253
10:22:50,210.078
10:23:00,209.904
10:23:10,209.729
10:23:20,209.554
10:23:30,209.38
10:23:40,209.205
10:23:50,209.031
10:24:00,208.856
10:24:10,208.681
10:24:20,208.507
10:24:30,208.332
10:24:40,208.158
10:24:50,207.983
10:25:00,207.808
10:25:10,207.634
10:25:20,207.459
10:25:30,207.284
10:25:40,207.11
10:25:50,206.935
10:26:00,206.761
10:26:10,206.586
10:26:20,206.411
10:26:30,206.237
10:26:40,206.062
10:26:50,205.888
10:27:00,205.713
10:27:10,205.538
10:27:20,205.364
10:27:30,205.189
10:27:40,205.015
10:27:50,204.84
10:28:00,204.665
10:28:10,204.491
10:28:20,204.316
10:28:30,204.141
